"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-10-02",,,,,"0.49",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-10-03",,,,,"0.99",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-10-04",,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-10-08",,,,,"0.09",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-10-09",,,,,"0.33",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-10-16",,,,,"0.20",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-10-19",,,,,"0.66",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-10-29",,,,,"0.44",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-11-13",,,,,"0.40",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-11-14",,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-11-27",,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-03",,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-07",,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-10",,,,,"0.09",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-11",,,,,"0.21",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-16",,,,,"0.12",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-18",,,,,"0.03",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-21",,,,,"0.93",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-25",,,,,"0.16",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-26",,,,,"0.07",",,N","0.0","T,,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-27",,,,,"0.98",",,N","0.0","T,,N","0.0","T,,N",,,,,,,,,"0.0",",,N",,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2012-12-30",,,,,"0.08",",,N","0.0","T,,N","0.0","T,,N",,,,,,,"0.0","T,,N","0.0","T,,N",,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-06",,,,,"0.01",",,N","0.0","T,,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-12",,,,,"0.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-13",,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-15",,,,,"0.64",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-16",,,,,"1.39",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-17",,,,,"0.16",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-18",,,,,"0.72",",,N","0.0","T,,N","0.0","T,,N",,,,,,,"0.0","T,,N","0.0","T,,N",,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-24",,,,,"0.83",",,N","3.0",",,N","3.0",",,N",,,,,,,"0.1",",,N","0.1",",,N",,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-28",,,,,"0.19",",,N","0.0","T,,N","0.0","T,,N",,,,,,,"0.1",",,N","0.1",",,N",,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-29",,,,,"0.07",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-01-31",,,,,"2.89",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-02-09",,,,,"0.40",",,N","3.0",",,N","3.0",",G,N",,,,,,,"0.4",",,N","0.4",",,N",,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-02-11",,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-02-14",,,,,"0.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAAB0007","CHARLOTTESVILLE 5.9 NNW, VA US","38.110766","-78.511944","166.7","2013-02-20",,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
